artist,album,song,date
Groundislava,Feel Me,Cider,05 Jul 2018 22:23
Nosaj Thing,Fated,Sci,05 Jul 2018 22:20
Holy Other,Held,Tense Past,05 Jul 2018 22:17
Evenings,Yore,Favorite Maze,05 Jul 2018 22:14
Lusine,Arterial,Quiet Day,05 Jul 2018 22:10
Flying Lotus,1983,Orbit Brazil,05 Jul 2018 22:07
Lusine,Sensorimotor,Witness,05 Jul 2018 22:04
Balam Acab,WANDER/WONDER,Apart,05 Jul 2018 22:00
Mono/Poly,Golden Skies,Winds Of Change,05 Jul 2018 21:57
Dorian Concept,Joined Ends,The Few,05 Jul 2018 21:53
Nosaj Thing,Home,Prelude,05 Jul 2018 21:50
Mount Kimbie,Sketch on Glass,At Least,05 Jul 2018 21:47
Shigeto,No Better Time Than Now,Safe In Here,05 Jul 2018 21:44
Shigeto,Full Circle Remixes,And We Gonna (Samiyam Chopsticks Remix),05 Jul 2018 21:41
Mono/Poly,Golden Skies,Alpha & Omega,05 Jul 2018 21:38
Dorian Concept,Joined Ends,11.04.2012,05 Jul 2018 21:34
Shlohmo,Bad Vibes,Big Feelings,05 Jul 2018 21:31
Lapalux,Many Faces Out of Focus,Cousin If,05 Jul 2018 21:28
Evenings,Yore LP,Lately,05 Jul 2018 21:25
Flying Lotus,Los Angeles,SexSlaveShip,05 Jul 2018 21:21
Bibio,The Green EP,Dinghy,05 Jul 2018 21:19
Gold Panda,Good Luck And Do Your Best,In My Car,05 Jul 2018 21:15
Mount Kimbie,Maybes,Taps,05 Jul 2018 21:13
Lapalux,Lustmore,We Lost,05 Jul 2018 21:09
Shigeto,Lineage,Ann Arbor Part 3 & 4,05 Jul 2018 21:06
Dorian Concept,Joined Ends,Tried (Now Tired),05 Jul 2018 21:01
Nosaj Thing,Fated,Uv3,05 Jul 2018 20:57
Mount Kimbie,Crooks & Lovers,Tunnelvision,05 Jul 2018 20:56
Lusine,Arterial,Arterial,05 Jul 2018 20:53
Evenings,Yore,Friend (Munno Remix),05 Jul 2018 20:50
Teebs,LA Series # 6,Anchor Steam,05 Jul 2018 20:47
Teebs,The Tropics,Clutch,05 Jul 2018 20:44
Mount Kimbie,Maybes,Vertical,05 Jul 2018 20:41
Lapalux,Many Faces Out of Focus,Quick Kiss,05 Jul 2018 20:37
Lusine,Sensorimotor,Slow Motion,05 Jul 2018 20:34
Holy Other,Held,U Now,05 Jul 2018 20:29
Lusine,Arterial,Eyes Give In,05 Jul 2018 20:24
Shigeto,No Better Time Than Now,Detroit Part 1,05 Jul 2018 20:19
Nosaj Thing,Drift Remixed,Quest (Low Limit Remix),05 Jul 2018 20:16
Dorian Concept,Joined Ends,The Sky Opposite,05 Jul 2018 20:13
Gold Panda,Half Of Where You Live,S950,05 Jul 2018 20:12
Shlohmo,Vacation - EP (Remixes),The Way U Do (Airhead Remix),05 Jul 2018 20:08
Lusine,The Waiting Room,Stratus,05 Jul 2018 20:03
Flying Lotus,Until the Quiet Comes,Getting There (feat. Niki Randa),05 Jul 2018 19:59
Teebs,Ardour,Bern Rhythm,05 Jul 2018 19:57
Shigeto,Full Circle,Ann Arbor Part 2,05 Jul 2018 19:54
Mount Kimbie,Crooks & Lovers,Between Time,05 Jul 2018 19:52
Holy Other,With U,With U,05 Jul 2018 19:50
Teebs,Collections 01,While You Dooooo (Extended),05 Jul 2018 19:44
Evenings,Yore,Lo-velo,05 Jul 2018 19:41
Evenings,Yore LP,Babe,05 Jul 2018 19:38
Dorian Concept,When Planets Explode,Fort Teen,05 Jul 2018 19:34
Lusine,A Certain Distance,Gravity,05 Jul 2018 19:32
Groundislava,Feel Me,Suicide Mission (feat. Baths),05 Jul 2018 19:26
Holy Other,Held,(W)here,05 Jul 2018 19:22
Nosaj Thing,Fated,Watch,05 Jul 2018 19:18
Lapalux,Lustmore,Don't Mean a Thing,05 Jul 2018 19:16
Sepalcure,Make You EP,He Said No,05 Jul 2018 19:09
Teebs,Collections 01,Probably (Bonus Track),05 Jul 2018 19:05
Groundislava,Feel Me,Jasper's Song I,05 Jul 2018 19:03
Nosaj Thing,Home,Snap,05 Jul 2018 19:00
Shigeto,Full Circle,So So Lovely,05 Jul 2018 18:57
Flying Lotus,Pattern+Grid World,Camera Day,05 Jul 2018 18:55
Flying Lotus,Until the Quiet Comes,Putty Boy Strut,05 Jul 2018 18:52
Dorian Concept,Joined Ends,Clap Track 4,05 Jul 2018 18:49
Gold Panda,Trust,Casyam_59#02,05 Jul 2018 18:45
Lusine,Arterial,Forks,05 Jul 2018 18:40
Evenings,Yore LP,Friend [Lover],05 Jul 2018 18:35
Holy Other,With U,Feel Something,05 Jul 2018 18:31
Shlohmo,Bad Vibes,Seriously,05 Jul 2018 18:27
Shigeto,Huron River Drive,Huron River Drive (Evenings Remix),05 Jul 2018 18:24
Mount Kimbie,Carbonated,Carbonated,05 Jul 2018 18:20
Teebs,Collections 01,Just the Yellow Bits,05 Jul 2018 18:17
Groundislava,Feel Me,Olympia 2011,05 Jul 2018 18:14
Lapalux,Many Faces Out of Focus,Sister Pick,05 Jul 2018 18:11
Lusine,Sensorimotor,Ticking Hands,05 Jul 2018 18:08
Holy Other,Held,In Difference,05 Jul 2018 18:04
Nosaj Thing,Fated,A,05 Jul 2018 18:01
Sepalcure,Make You EP,DMD,05 Jul 2018 18:00
Gold Panda,Companion,Triangle Cloud,05 Jul 2018 17:57
Shigeto,Full Circle,Brown Eyed Girl,05 Jul 2018 17:54
A$AP Rocky,TESTING,CALLDROPS (feat. Kodak Black),05 Jul 2018 14:30
A$AP Rocky,TESTING,Praise The Lord (Da Shine) (feat. Skepta),05 Jul 2018 14:27
A$AP Rocky,TESTING,Fukk Sleep (feat. FKA twigs),05 Jul 2018 14:23
A$AP Rocky,TESTING,Tony Tone,05 Jul 2018 14:20
A$AP Rocky,TESTING,A$AP Forever REMIX (feat. Moby T.I. & Kid Cudi),05 Jul 2018 14:18
A$AP Rocky,TESTING,Distorted Records,05 Jul 2018 14:13
Prefuse 73,Vocal Studies + Uprock Narratives,7th Message,04 Jul 2018 7:57
Prefuse 73,Vocal Studies + Uprock Narratives,Afternoon Love In,04 Jul 2018 7:53
Prefuse 73,Vocal Studies + Uprock Narratives,Untitled,04 Jul 2018 7:50
Prefuse 73,Vocal Studies + Uprock Narratives,Black List (Feat. MF Doom & Aesop Rock),04 Jul 2018 7:47
Prefuse 73,Vocal Studies + Uprock Narratives,Hot Winter's Day,04 Jul 2018 7:44
Prefuse 73,Vocal Studies + Uprock Narratives,Back in Time,04 Jul 2018 7:42
Prefuse 73,Vocal Studies + Uprock Narratives,Cliché Intro,04 Jul 2018 7:40
Prefuse 73,Vocal Studies + Uprock Narratives,Last Night (feat. Sam Prekop),04 Jul 2018 7:37
Prefuse 73,Vocal Studies + Uprock Narratives,Eve Of Dextruction,04 Jul 2018 7:35
Prefuse 73,Vocal Studies + Uprock Narratives,Living Life (feat. Rec Center),04 Jul 2018 7:31
Prefuse 73,Vocal Studies + Uprock Narratives,Five Minutes Away,04 Jul 2018 7:28
Prefuse 73,Vocal Studies + Uprock Narratives,Point to B,04 Jul 2018 7:25
Prefuse 73,Vocal Studies + Uprock Narratives,Smile in Your Face,04 Jul 2018 7:21
Prefuse 73,Vocal Studies + Uprock Narratives,Life Death (Feat. Mikah 9),04 Jul 2018 7:18
Prefuse 73,Vocal Studies + Uprock Narratives,Nuno,04 Jul 2018 7:15
Prefuse 73,Vocal Studies + Uprock Narratives,Radio Attack,04 Jul 2018 7:11
The Animal Spirits,The Animal Spirits,Each Moment Like The First,04 Jul 2018 6:41
James Holden,The Inheritors,Renata,04 Jul 2018 6:35
Anderson .Paak,Bubblin,Bubblin,04 Jul 2018 6:30
Oneohtrix Point Never,Age Of,Manifold,04 Jul 2018 6:27
Oneohtrix Point Never,Age Of,Black Snow,04 Jul 2018 6:25
Jacob Banks,The Boy Who Cried Freedom,Chainsmoking,04 Jul 2018 6:21
Nick Hakim,Vincent Tyler,Vincent Tyler,04 Jul 2018 6:18
River Whyless,Kindness A Rebel,Motel 6,04 Jul 2018 6:14
Saje,Take Care Of You,Take Care Of You,04 Jul 2018 6:11
Botany,Deepak Verbera,Gleaning Gleaming,04 Jul 2018 6:07
K. Forest,Forest Fire II,Blue Moon,04 Jul 2018 6:03
Letherette,Featurette,Surface,04 Jul 2018 5:59
Yuno,Moodie,Amber,04 Jul 2018 5:55
Rico Nasty,Nasty,Bitch I'm Nasty,04 Jul 2018 5:52
Amber Mark,3:33 AM,Regret,04 Jul 2018 5:50
Abhi//dijon,2014,Honest,04 Jul 2018 5:46
Ark Patrol,Let Go,Let Go (feat. Veronika Redd),04 Jul 2018 5:43
Lukid,Lonely at the Top,Laroche,04 Jul 2018 5:40
Botany,Lava Diviner (Truestory),Comm.,04 Jul 2018 5:36
Shigeto,Lineage,Soaring,04 Jul 2018 5:32
Groundislava,Feel Me,Olympia 2011,04 Jul 2018 5:29
Jay Rock,Redemption,Knock It Off,04 Jul 2018 5:26
Jay Rock,Redemption,ES Tales,04 Jul 2018 5:22
El Michels Affair,Unathi b/w Zaharila,Unathi (feat. Piya Malik),04 Jul 2018 5:19
VACATIONER,Mindset,Entrance,04 Jul 2018 5:15
Mello Music Group,Persona,All I See Is You (feat. Quelle Chris & Bilal Salaam),04 Jul 2018 5:11
Late June,Dawn,Dawn,04 Jul 2018 5:09
Holy Other,With U,Know Where,04 Jul 2018 5:05
Has-Lo,Conversation B,Hindsight (Apollo Brown Mix),04 Jul 2018 5:03
Kev Brown & Hassaan Mackey,That Grit,Money Mike (feat. Kenn Starr),04 Jul 2018 5:00
Exile,Radio - AM/FM,In Love - Milo1 Remix,04 Jul 2018 4:58
Oddisee,Traveling Man,Detroit,04 Jul 2018 4:56
A$AP Rocky,TESTING,Gunz N Butter (feat. Juicy J),04 Jul 2018 4:53
A$AP Rocky,TESTING,Kids Turned Out Fine,04 Jul 2018 4:50
A$AP Rocky,TESTING,Hun43rd,04 Jul 2018 4:46
Mono/Poly,Manifestations EP,Glow,04 Jul 2018 4:44
Shigeto,Lineage,Please Stay,04 Jul 2018 4:34
Flying Lotus,Los Angeles,Camel,04 Jul 2018 3:54
Four Tet,There Is Love in You (Expanded Edition),Plastic People,04 Jul 2018 3:35
Shigeto,Full Circle,Children At Midnight,04 Jul 2018 3:30
Gold Panda,Half Of Where You Live,Enoshima,04 Jul 2018 3:27
Dorian Concept,Her Tears Taste Like Pears,Thank You All the Time Forever,04 Jul 2018 3:24
Nosaj Thing,Fated,Don't Mind Me (feat. Whoarei),04 Jul 2018 3:20
Teebs,E s t a r a,Piano Months,04 Jul 2018 3:17
Groundislava,Feel Me,Cider,04 Jul 2018 3:15
Holy Other,Held,Tense Past,04 Jul 2018 3:11
Shlohmo,Bad Vibes,Places,04 Jul 2018 3:07
Shigeto,What We Held On To EP,Bitter Sweet,04 Jul 2018 3:03
Lusine,Arterial,Quiet Day,04 Jul 2018 3:00
Mount Kimbie,Crooks & Lovers,Field,04 Jul 2018 2:57
Teebs,The Tropics,Comes to Mind,04 Jul 2018 2:54
Flying Lotus,Los Angeles,Beginners Falafel,04 Jul 2018 2:51
Holy Other,With U,Yr Love,04 Jul 2018 2:48
Evenings,Yore,Favorite Maze,04 Jul 2018 2:44
Teebs,Ardour,Bound Ball,04 Jul 2018 2:41
Nosaj Thing,Home,Home,04 Jul 2018 2:39
Groundislava,Feel Me,Jasper's Song II,04 Jul 2018 2:36
Mount Kimbie,Carbonated,Flux,04 Jul 2018 2:32
Shigeto,What We Held On To EP,After the Smoke,04 Jul 2018 2:28
Drake,Scorpion,Nice For What,04 Jul 2018 2:24
Drake,Scorpion,Jaded,04 Jul 2018 2:20
Drake,Scorpion,Summer Games,04 Jul 2018 2:16
Drake,Scorpion,Peak,04 Jul 2018 2:12
Drake,Scorpion,Is There More,04 Jul 2018 2:08
Drake,Scorpion,Talk Up (feat. Jay-Z),04 Jul 2018 2:05
Drake,Scorpion,Sandra’s Rose,04 Jul 2018 2:01
Drake,Scorpion,Can’t Take A Joke,04 Jul 2018 1:58
Drake,Scorpion,Mob Ties,04 Jul 2018 1:55
Drake,Scorpion,8 Out of 10,04 Jul 2018 1:52
Drake,Scorpion,Emotionless,04 Jul 2018 1:47
Drake,Scorpion,Elevate,04 Jul 2018 1:43
Drake,Scorpion,Nonstop,04 Jul 2018 1:40
Drake,Scorpion,Survival,04 Jul 2018 1:36
A$AP Rocky,TESTING,Purity (feat. Frank Ocean),04 Jul 2018 1:33
A$AP Rocky,TESTING,Black Tux White Collar,04 Jul 2018 1:30
A$AP Rocky,TESTING,Changes,04 Jul 2018 1:26
A$AP Rocky,TESTING,Hun43rd,04 Jul 2018 1:21
A$AP Rocky,TESTING,Kids Turned Out Fine,04 Jul 2018 1:18
A$AP Rocky,TESTING,OG Beeper,04 Jul 2018 1:15
A$AP Rocky,TESTING,Brotha Man (feat. French Montana),04 Jul 2018 1:12
A$AP Rocky,TESTING,CALLDROPS (feat. Kodak Black),04 Jul 2018 1:07
A$AP Rocky,TESTING,Praise The Lord (Da Shine) (feat. Skepta),04 Jul 2018 0:55
A$AP Rocky,TESTING,Fukk Sleep (feat. FKA twigs),04 Jul 2018 0:52
A$AP Rocky,TESTING,Tony Tone,04 Jul 2018 0:49
